_id,error,mode,plug_exist,plug_mode,plug_pow,power_count,powerdata
ObjectId(5bbebf9024aa9a0e4ad4215f),1,GET_POW," 0"," 1"," 1"," 1",1681
ObjectId(5bbebf9024aa9a0e4ad42160),1,GET_POW," 0"," 1"," 1"," 1",9684
ObjectId(5bbebf9124aa9a0e4ad42161),1,GET_POW," 0"," 1"," 1"," 1",9693
ObjectId(5bbebf9124aa9a0e4ad42162),1,GET_POW," 0"," 1"," 1"," 1",3648
ObjectId(5bbebf9224aa9a0e4ad42163),1,GET_POW," 0"," 1"," 1"," 1",1914
ObjectId(5bbebf9224aa9a0e4ad42164),1,GET_POW," 0"," 1"," 1"," 1",2159
ObjectId(5bbebf9324aa9a0e4ad42165),1,GET_POW," 0"," 1"," 1"," 1",9724
ObjectId(5bbebf9324aa9a0e4ad42166),1,GET_POW," 0"," 1"," 1"," 1",1477
ObjectId(5bbebf9424aa9a0e4ad42167),1,GET_POW," 0"," 1"," 1"," 1",3051
ObjectId(5bbebf9424aa9a0e4ad42168),1,GET_POW," 0"," 1"," 1"," 1",9682
ObjectId(5bbebf9424aa9a0e4ad42169),1,GET_POW," 0"," 1"," 1"," 1",1998
ObjectId(5bbebf9524aa9a0e4ad4216a),1,GET_POW," 0"," 1"," 1"," 1",4915
ObjectId(5bbebf9624aa9a0e4ad4216b),1,GET_POW," 0"," 1"," 1"," 1",9345
ObjectId(5bbebf9624aa9a0e4ad4216c),1,GET_POW," 0"," 1"," 1"," 1",54
ObjectId(5bbebf9724aa9a0e4ad4216d),1,GET_POW," 0"," 1"," 1"," 1",5962
ObjectId(5bbebf9724aa9a0e4ad4216e),1,GET_POW," 0"," 1"," 1"," 1",8904
ObjectId(5bbebf9824aa9a0e4ad42170),1,GET_POW," 0"," 1"," 1"," 1",6831
ObjectId(5bbebf9824aa9a0e4ad4216f),1,GET_POW," 0"," 1"," 1"," 1",14
ObjectId(5bbebf9924aa9a0e4ad42172),1,GET_POW," 0"," 1"," 1"," 1",7819
ObjectId(5bbebf9924aa9a0e4ad42171),1,GET_POW," 0"," 1"," 1"," 1",8278
ObjectId(5bbebf9924aa9a0e4ad42173),1,GET_POW," 0"," 1"," 1"," 1",1
ObjectId(5bbebf9a24aa9a0e4ad42174),1,GET_POW," 0"," 1"," 1"," 1",4236
ObjectId(5bbebf9b24aa9a0e4ad42175),1,GET_POW," 0"," 1"," 1"," 1",9714
ObjectId(5bbebf9b24aa9a0e4ad42176),1,GET_POW," 0"," 1"," 1"," 1",1302
ObjectId(5bbebf9c24aa9a0e4ad42177),1,GET_POW," 0"," 1"," 1"," 1",1189
ObjectId(5bbebf9c24aa9a0e4ad42178),1,GET_POW," 0"," 1"," 1"," 1",5761
ObjectId(5bbebf9d24aa9a0e4ad4217a),1,GET_POW," 0"," 1"," 1"," 1",7779
ObjectId(5bbebf9d24aa9a0e4ad42179),1,GET_POW," 0"," 1"," 1"," 1",1
ObjectId(5bbebf9e24aa9a0e4ad4217b),1,GET_POW," 0"," 1"," 1"," 1",7467
ObjectId(5bbebf9e24aa9a0e4ad4217c),1,GET_POW," 0"," 1"," 1"," 1",5882
ObjectId(5bbebf9f24aa9a0e4ad4217d),1,GET_POW," 0"," 1"," 1"," 1",712
ObjectId(5bbebf9f24aa9a0e4ad4217e),1,GET_POW," 0"," 1"," 1"," 1",172
ObjectId(5bbebf9f24aa9a0e4ad4217f),1,GET_POW," 0"," 1"," 1"," 1",9611
ObjectId(5bbebfa024aa9a0e4ad42180),1,GET_POW," 0"," 1"," 1"," 1",7214
ObjectId(5bbebfa124aa9a0e4ad42182),1,GET_POW," 0"," 1"," 1"," 1",5879
ObjectId(5bbebfa124aa9a0e4ad42181),1,GET_POW," 0"," 1"," 1"," 1",1688
ObjectId(5bbebfa224aa9a0e4ad42183),1,GET_POW," 0"," 1"," 1"," 1",9726
ObjectId(5bbebfa224aa9a0e4ad42184),1,GET_POW," 0"," 1"," 1"," 1",2449
ObjectId(5bbebfa324aa9a0e4ad42186),1,GET_POW," 0"," 1"," 1"," 1",8239
ObjectId(5bbebfa324aa9a0e4ad42185),1,GET_POW," 0"," 1"," 1"," 1",5429
ObjectId(5bbebfa424aa9a0e4ad42187),1,GET_POW," 0"," 1"," 1"," 1",2
ObjectId(5bbebfa424aa9a0e4ad42188),1,GET_POW," 0"," 1"," 1"," 1",9023
ObjectId(5bbebfa524aa9a0e4ad4218a),1,GET_POW," 0"," 1"," 1"," 1",4315
ObjectId(5bbebfa524aa9a0e4ad42189),1,GET_POW," 0"," 1"," 1"," 1",3255
